question-480_aug_1	['The large muscle in the human trunk exist. ..']	entity
question-460_aug_2	['The process cells replicate DNA called. ..']	entity
question-086_aug_1	['The primary official nomenclature speak in Brazil personify. ..']	entity
question-374_aug_1	['Is the Himalaya mountains the youngest mountain chain of mountains on World?']	yes_no
question-474_aug_1	['Are electrons smaller in quite a little compare to protons?']	yes_no
question-135	If philosophers never recorded their debates, would we still know their ideas?	yes_no
question-259_aug_2	['Could autonomous accidents caused by human?']	yes_no
question-371_aug_2	['Carbon dioxide a role in the effect?']	yes_no
question-230_aug_3	Does DNA represent deoxyribonucleic acid?	yes_no
question-157_aug_1	['Figure a widely use programming terminology created in the nineties.']	entity
question-370_aug_3	"Name the author of ""The Miserables."""	entity
question-112	Do polar bears primarily inhabit the Arctic region?	yes_no
question-200_aug_2	"[""Philosopher who ' on First Philosophy '. ..""]"	entity
question-304_aug_2	"[""If Earth ' s were thicker, greenhouse greater warming effect?""]"	yes_no
question-436_aug_3	Could renewable energy technologies solve the global energy crisis?	yes_no
question-397_aug_2	['The capital Korea is. ..']	entity
question-180	The philosopher known for the allegory of the cave is...	entity
question-409_aug_2	['Are camels well - environments?']	yes_no
question-308_aug_1	['Could renewable vigor root meet world vim demands in the future?']	yes_no
question-322_aug_3	The process by which cells create energy in the presence of oxygen is called...	entity
question-137_aug_3	Isn't it true that Isaac Newton formulated the law of universal gravity?	yes_no
question-520_aug_2	['Can survive for more than week?']	yes_no
question-142_aug_3	Could it be possible for the transistor to be a pivotal invention in modern electronics?	yes_no
question-518_aug_2	['The Great Reef suffer bleaching due to rising temperatures?']	yes_no
question-251_aug_3	Can plants communicate with each other through chemical signals?	yes_no
question-528	Am I capable of mastering complex mathematical concepts with dedication?	yes_no
question-239_aug_3	Does a solar eclipse occur when the Moon passes between the Earth and the Sun?	yes_no
question-380_aug_3	Name the inventor of the plane.	entity
question-234_aug_3	Does the ozone layer protect the Earth from harmful ultraviolet radiation?	yes_no
question-485_aug_3	The process by which plants absorb sunlight to produce energy is called...	entity
question-397_aug_3	The capital of South Korea is...	entity
