question-001	Is Mount Everest truly the highest peak on Earth?	yes_no
question-002	The capital city of Japan is...	entity
question-003	Does the Amazon River carry a greater volume of water than any other river?	yes_no
question-004	If gravity ceased to exist, would objects still fall to the ground?	yes_no
question-005	Name the inventor who first patented the telephone.	entity
question-006	Is it possible that the Great Wall of China cannot be seen from space with the naked eye?	yes_no
question-007	The painter of the Mona Lisa was...	entity
question-008	Could it be that humans share over 90% of their DNA with chimpanzees?	yes_no
question-009	Is the speed of light constant in a vacuum?	yes_no
question-010	Which chemical element has the symbol "Au"?	entity
question-011	Isn't it true that the Nile is often considered the longest river in the world?	yes_no
question-012	During World War II, the leader of the Soviet Union was...	entity
question-013	Does deforestation contribute significantly to climate change?	yes_no
question-014	If the Earth were twice as far from the Sun, would it still support life as we know it?	yes_no
question-015	Identify the ancient Greek philosopher who was the teacher of Aristotle.	entity
question-016	Can we confirm that Tokyo is one of the most populous urban areas globally?	yes_no
question-017	The largest desert on Earth is...	entity
question-018	Is the Amazon Rainforest located primarily in Brazil?	yes_no
question-019	Could it be possible that some planets outside our solar system harbor life?	yes_no
question-020	Name the author who wrote "Pride and Prejudice."	entity
question-021	Is Shakespeare credited with writing "Hamlet"?	yes_no
question-022	List three countries in Europe that do not use the Euro as their primary currency.	entity
question-023	Does the theory of relativity originate from Albert Einstein?	yes_no
question-024	If the Internet had never been invented, would global communication remain predominantly local?	yes_no
question-025	The structure built to protect China’s northern borders centuries ago is called...	entity
question-026	Is it true that Mars is sometimes referred to as the Red Planet?	yes_no
question-027	Who developed the vaccine that led to the near-eradication of polio?	entity
question-028	Could the Industrial Revolution have occurred without the invention of the steam engine?	yes_no
question-029	Is the Louvre Museum located in Paris, France?	yes_no
question-030	The process by which plants convert sunlight into chemical energy is known as...	entity
question-031	Do whales, as mammals, breathe air instead of using gills like fish do?	yes_no
question-032	Which device, created in the mid-20th century, revolutionized computing by replacing vacuum tubes?	entity
question-033	Is it commonly accepted that water boils at 100°C under standard atmospheric pressure?	yes_no
question-034	If no humans had discovered fire, would human civilization have progressed as it did?	yes_no
question-035	Name the city that hosted the first modern Olympic Games in 1896.	entity
question-036	Is the Great Barrier Reef threatened by rising ocean temperatures?	yes_no
question-037	Could one argue that Socrates never wrote any philosophical texts himself?	yes_no
question-038	The largest ocean on Earth is...	entity
question-039	Is it generally agreed that the Earth orbits around the Sun, rather than vice versa?	yes_no
question-040	List two European languages that do not share the Latin alphabet.	entity
question-041	Does the theory of evolution by natural selection originate from Charles Darwin?	yes_no
question-042	Assuming the Moon had a breathable atmosphere, would humans survive there without spacesuits?	yes_no
question-043	Which Renaissance figure is credited with painting "The Last Supper"?	entity
question-044	Is it true that global warming has been linked to increased greenhouse gas emissions from human activities?	yes_no
question-045	Could artificial intelligence surpass human intelligence in complex decision-making tasks?	yes_no
question-046	Identify the chemical element that is essential for breathing and constitutes about 21% of Earth's atmosphere.	entity
question-047	Is the Taj Mahal located in India?	yes_no
question-048	If electric cars became the global standard, would carbon emissions from transportation decrease?	yes_no
question-049	Name the scientist who introduced the concept of gravity after observing a falling apple (according to legend).	entity
question-050	Isn’t it true that the printing press invention greatly accelerated the spread of knowledge in Europe?	yes_no
question-051	Isn't it true that the Nile River is considered the longest river on Earth?	yes_no
question-052	The Carthaginian general who famously crossed the Alps with elephants was...	entity
question-053	Name three subatomic particles found within an atom’s structure.	entity
question-054	Which Renaissance master painted the ceiling of the Sistine Chapel in Vatican City?	entity
question-055	Could it be possible that Mars once harbored liquid water beneath its surface conditions?	yes_no
question-056	Identify the top five largest countries by land area.	entity
question-057	The invention that revolutionized the production of books in the 15th century was the...	entity
question-058	Who composed the opera "La Bohème"?	entity
question-059	The concept of the Turing machine, central to theoretical computer science, was introduced by...	entity
question-060	Does gravity cause two masses to attract each other regardless of distance?	yes_no
question-061	The earliest known civilization in the region of Mesopotamia was the...	entity
question-062	If the speed of light is constant in all inertial frames, would this imply time dilation at high velocities?	yes_no
question-063	Name the traditional Japanese robe often worn during cultural festivals.	entity
question-064	The Inca citadel perched high in the Andes Mountains of Peru is called...	entity
question-065	Is the chemical symbol for the element gold "Au"?	yes_no
question-066	During World War II, which British Prime Minister delivered speeches that uplifted public morale?	entity
question-067	Who is generally regarded as the "father of modern computing"?	entity
question-068	Assuming a perfect vacuum, does sound fail to propagate through it?	yes_no
question-069	The ancient Greek philosopher who taught Alexander the Great was...	entity
question-070	Is Mount Kilimanjaro located on the African continent?	yes_no
question-071	During the Apollo 11 mission, who was the first person to set foot on the Moon?	entity
